4999,5026,3141
4771,5232,3015
4177,5184,3072
4498,5643,2953
4858,5315,2799
4558,4863,3075
4228,4882,3337
4188,4884,2979
4000,5125,2604
4106,5170,2973
4463,4929,3491
4475,4756,3041
4461,4742,2734
4392,4766,3344
4595,4912,3646
4724,4806,3191
4518,4661,2799
4448,4830,2965
4364,4964,3205
4630,5480,3105
4767,5620,2571
4450,4960,2306
4563,4838,2904
4811,4913,3798
4683,4891,4247
4726,5203,3889
4962,5002,3421
4786,4888,3604
4305,5082,3787
4288,4888,3879
4820,4993,4699
4958,5013,5344
4592,4970,4746
4563,5192,3392
5126,4955,2530
5591,4784,3155
5562,4880,4135
5510,4820,4527
5457,5053,4986
5238,4969,4911
5154,4717,4227
5267,5050,4414
5180,5055,5310
4984,4707,5872
5099,4895,5849
5233,4906,5489
5117,4594,4826
5052,4768,4215
5249,4443,4616
5604,4379,5132
5849,4756,4736
5749,4465,4949
5450,4564,6013
5343,4836,6260
5337,5071,5932
5425,5508,5798
5686,5231,5688
5709,4932,5512
5633,4942,5440
5500,4319,5664
5314,4294,6000
5447,4648,6145
5572,4517,6070
5470,4737,5835
5281,4733,5226
5306,4726,4996
5559,4785,5349
5679,4488,5808
5445,4999,6376
5357,5292,5859
5653,4675,5458
5610,4842,5875
5312,5307,4870
4956,5110,4072
4861,5358,4820
5422,5636,5523
5877,5138,6044
5541,5126,5771
5006,5118,4412
4852,4936,3933
4901,4908,4710
5139,4699,5347
5245,4928,5236
5085,4871,4365
5026,4744,3762
5149,5147,4351
5370,5027,4940
5391,5118,4333
5113,5842,3585
4864,5758,3844
5029,5415,4352
5356,5616,4049
5316,5464,3712
5162,5342,3721
5112,5397,3408
4994,5060,3009
5024,5384,3124
5190,5976,3942
5026,6075,3771
4832,6223,2566
4913,5987,2491
4990,6052,3349
5075,6444,3801
5010,5945,3124
4778,5654,2210
4700,5625,2410
4767,5472,3381
4816,6070,3765
4711,6234,3403
4669,6115,3632
4701,6547,4066
4580,6430,3753
4642,6460,3209
4729,6538,3145
4587,5896,3778
4612,5729,4062
4671,5744,3359
4564,5593,2756
4222,5967,3395
4123,6116,4189
4684,6116,3370
5012,6401,2313
4933,6158,3013
4641,5962,4560
4316,6010,4919
4493,5586,3812
4774,5465,2999
4550,5808,3441
4010,5663,4535
3756,5437,5537
4051,5305,5577
4540,5130,4766
4675,5660,4484
4439,5679,4681
4256,5393,4304
4265,5612,4274
4443,4882,5259
4590,4605,5922
4332,5174,5829
4076,5004,5568
4008,4814,5439
3971,4505,5527
4067,4457,5701
3944,4998,5988
3892,4919,6735
4186,5035,7201
4293,5212,6214
4220,4510,5002
4143,4209,5104
4103,4384,6342
4375,4200,7369
4676,4258,6937
4582,4284,5917
4165,3952,5372
3968,3921,5775
4200,3714,7094
4462,3592,7789
4399,3777,7627
3909,3765,7456
3893,4143,6895
4352,4493,6158
4484,4417,6415
4319,4783,7242
4311,4986,7057
4388,4414,6488
4251,4151,6551
4453,3886,6484
4490,3524,6388
4357,3915,6475
4527,3954,6416
4503,3889,6477
4409,4078,6737
4201,3744,6949
4082,4001,7042
4176,4467,6697
4230,4471,5583
4380,4718,5192
4571,4523,6021
4558,4257,6212
4311,4503,5484
4271,4199,5026
4629,4051,5341
4844,4665,5679
4708,4864,5686
4698,4723,5573
4711,4588,5234
4509,4453,5276
4282,4739,5711
4249,4785,5602
4382,4556,4854
4429,4729,4293
4278,4535,4225
4105,4440,4239
4202,4756,4509
4329,4595,4828
4597,4667,4424
4859,4970,3845
4573,4910,3880
4296,5154,4212
4397,5087,4295
4749,4545,3883
4905,4778,3451
4488,4933,3539
3999,4891,3834
3944,5094,3738
4204,4992,3380
4142,5128,3061
4065,4955,2814
4229,4532,2885
4220,4700,2926
4166,4825,2746
4125,4821,2836
4155,4894,2918
4160,4695,2603
4274,4418,2579
4356,4729,2952
4189,4986,2925
4121,4981,2742
3948,5036,2401
3851,4999,2141
4043,5092,2760
4152,4874,3193
4076,4813,3214
4093,5016,3258
4361,4512,3125
4342,4576,2984
4093,5083,2551
3851,4796,2302
3870,5079,2927
4137,5332,3615
4054,4856,3201
3930,4931,2545
3750,5240,2705
3568,5248,2678
3878,5139,2553
4260,5136,2807
4120,5152,3010
3923,5134,3592
4155,4981,3526
4035,5064,2330
3872,5398,1986
4169,5136,3007
4173,4890,4095
3903,4874,4350
3640,4962,4033
3643,5410,3219
3833,5514,2605
3893,5521,3399
4000,5887,4552
4150,5807,4515
4286,5727,3968
4102,5827,3664
3771,5492,3255
3865,5713,3308
4041,5617,4144
3946,5391,5034
3734,5927,5178
3880,5586,4625
4256,5354,4349
4100,5867,4436
3839,6008,4677
4044,6039,4684
4387,6021,4666
4709,5519,5189
4720,5443,5252
4455,5750,4908
4316,5524,4527
4208,5711,4166
4236,5870,4502
4356,5711,5016
4413,6021,5196
4352,5962,5067
4297,5915,5012
4489,6285,5623
4466,6059,6465
4284,5885,6654
4351,5721,6173
4438,5263,5540
4262,5434,5074
4199,5457,5469
4704,5265,6349
4996,5442,6341
4641,5343,5795
4348,5520,5295
4318,5949,5281
4367,5444,5903
4510,5405,6099
4647,5593,6391
4690,4938,6434
4632,5486,5786
4402,6059,6135
4100,5654,6238
4197,5564,5764
4567,5423,5843
4577,5244,5641
4443,5011,6124
4286,4821,6518
4176,4766,5828
4461,4773,5773
4561,4968,6185
4363,5279,6311
4300,5071,6002
4339,4760,6235
4488,5423,6743
4406,5579,6132
4166,5344,5433
4230,5657,5259
4343,5380,5436
4192,5101,5765
4010,5023,5871
4071,4634,5726
4182,4677,5261
4113,4587,4959
4165,4487,5103
4472,4790,5348
4382,4772,5582
4074,4854,5815
4241,4927,5548
4476,4756,4872
4436,4781,4903
4324,4967,5164
4191,4692,5216
4074,4491,5088
4147,4789,4148
4382,4874,3382
4734,5201,3647
5000,5110,4149
5007,4660,4400
4897,4596,4857
4655,4424,5138
4730,4666,4650
5053,4940,3952
5077,4734,3317
5002,4962,3059
4919,5135,3724
4723,4676,4658
4647,4743,4450
5100,4557,3520
5343,4178,2940
5174,4766,2416
5346,5112,2086
5583,5137,2363
5795,4929,2942
5795,4652,2771
5662,4874,2457
